Lead_ID,Name,Company,Email,Phone,Lead_Source,Industry,Lead_Score,Lifecycle_Stage,Intent_Level,Contact_Owner,Last_Engagement_Date
17,Carrie Stout,Carrillo-Thomas,bsaunders@scott-gross.com,(749)464-5403,Facebook Ads,E-commerce,33,MQL,Low,Rep D,2025-06-28
18,Michelle Moore,Atkinson and Sons,knguyen@yahoo.com,(388)232-3453x356,Referral,FinTech,77,SQL,High,Rep B,2025-05-13
19,Candice Anderson,"George, Navarro and Perry",tlambert@hotmail.com,+1-203-980-1337x6191,LinkedIn DMs,E-commerce,30,MQL,Low,Rep C,2025-06-29
20,Jesus Arellano,Rocha Inc,kellykelsey@fields.com,539-428-1158,Referral,HRTech,33,MQL,Mid,Rep B,2025-05-17
21,Tamara Morgan,"Parsons, Bennett and Villanueva",andrew79@gmail.com,510-981-0094,Email Campaign,FinTech,77,SQL,Mid,Rep C,2025-05-01
22,Andrew Stevens,Taylor Inc,randy42@yahoo.com,+1-638-082-6326x7631,Facebook Ads,HRTech,26,Lead,Low,Rep A,2025-04-11
23,Bob Brown,Perez-Carlson,hilljoseph@gmail.com,(429)306-4614x38381,Email Campaign,FinTech,22,Lead,Low,Rep A,2025-05-13
24,Michael Taylor MD,"Whitaker, Odonnell and Wiggins",diane43@hotmail.com,001-475-289-7245,Referral,E-commerce,66,SQL,Mid,Rep D,2025-06-21
25,Susan Peters,"Daniels, Lopez and Salinas",heather04@gmail.com,001-499-6117,Email Campaign,FinTech,38,MQL,Low,Rep C,2025-05-16
26,Rebecca Watson,"Rodgers, Banks and Griffith",icruz@hotmail.com,(923)395-3002x55395,Website Form,SaaS,90,Customer,High,Rep B,2025-06-25
27,Sharon Wood,"Harris, Kirby and Freeman",thompsonmichael@cox-ball.info,1311175173,Webinar,SaaS,46,MQL,Low,Rep B,2025-06-06
28,Justin Jenkins,Collier-Chen,christopher69@collins-tran.net,171.359.3589x1054,Referral,SaaS,15,Lead,Low,Rep D,2025-05-25
29,Patty Thompson,Moore-Kerr,mhartman@osborne.com,9928687842,LinkedIn DMs,SaaS,98,Customer,High,Rep D,2025-06-06
30,Karen Garcia,Sanders Group,steelescott@duffy.org,001-128-568-5944,Referral,Healthcare,44,MQL,Mid,Rep A,2025-04-10
31,Roberto Young,Cannon Inc,patrick85@brandt-jackson.com,806-036-3235,Website Form,FinTech,49,MQL,Mid,Rep B,2025-06-13
32,Gabriel Jackson,"Hopkins, Patterson and Gomez",heatherbrown@navarro-allen.org,714.845.4430x07457,Referral,SaaS,75,SQL,Mid,Rep B,2025-06-13
33,Thomas Martinez PhD,Underwood-Goodman,masoncolton@gmail.com,253.363.0575,Webinar,EdTech,61,SQL,Mid,Rep D,2025-05-17
34,Robin Powell,Chavez Inc,andrew66@williams-hughes.com,8526106896,Facebook Ads,E-commerce,67,SQL,High,Rep A,2025-05-09
35,Ryan Clark,Hines-Scott,wongjordan@gmail.com,+1-404-396-8483x59600,Webinar,E-commerce,6,Lead,Low,Rep D,2025-04-03
36,Kristen Parks,Winters Group,hchen@martinez.com,191.899.3819x8792,Website Form,EdTech,9,Lead,Low,Rep D,2025-04-12
37,Aaron Abbott,Marshall LLC,ggarner@hotmail.com,8675226249,Referral,FinTech,6,Lead,Low,Rep A,2025-06-17
38,Carl Holmes,Jackson Inc,vrogers@gmail.com,731.319.7493x1352,Webinar,EdTech,73,SQL,Mid,Rep D,2025-06-11
39,Natasha Rhodes,Mcbride-Logan,christina76@hotmail.com,(118)256-6516x391,LinkedIn DMs,Healthcare,95,Customer,High,Rep C,2025-05-17
40,Brendan Rivera,"Steele, Gutierrez and Nichols",david50@harris.com,001-749-687-5744x654,LinkedIn DMs,HRTech,32,MQL,Low,Rep A,2025-06-10
41,Charles Robertson,Robinson-Hooper,changpatricia@hicks-ayers.info,050-315-1346x508,Referral,HRTech,41,MQL,Low,Rep C,2025-06-10
42,Erica Barnes,"Gillespie, Norris and Robinson",kelly71@gmail.com,125-383-4106x5729,Website Form,E-commerce,76,SQL,High,Rep A,2025-06-12
43,Valerie Blackburn,Combs-Richardson,mcdowelllisa@williams.com,(777)441-0843x9711,Referral,FinTech,8,Lead,Low,Rep D,2025-05-23
44,Michael Barrera,Lambert LLC,matthewcampos@woods.com,320.310.6664x6518,LinkedIn DMs,Healthcare,72,SQL,Mid,Rep D,2025-04-28
45,Richard Jimenez,"Dean, Fox and Hunt",melissa79@hotmail.com,(797)114-9179x461,Website Form,EdTech,50,MQL,Mid,Rep D,2025-06-04
46,Amy Bennett,"Velez, Thompson and Perez",smithmichelle@hotmail.com,001-327-866-8689x98420,Webinar,EdTech,92,Customer,High,Rep C,2025-04-05
47,Tom Crosby,Brown-Perez,ruth41@nelson.com,001-765-133-5294x9576,Referral,Healthcare,62,SQL,Mid,Rep B,2025-04-08
48,William Mullins,Roy-Jones,kristin92@garza.com,687.612.9767x62135,Webinar,Healthcare,84,Customer,High,Rep A,2025-05-02
49,Jennifer Jones,Griffith-Benitez,joyce83@suarez.org,001-531-200-8590,Webinar,HRTech,62,SQL,Mid,Rep C,2025-05-03
50,Richard Dillon,Garcia-Byrd,richardking@yates.com,134.241.4718,Facebook Ads,E-commerce,7,Lead,Low,Rep C,2025-05-28
51,Shelby Long,Malone Group,suzannemay@gmail.com,017-274-8215,Referral,SaaS,75,SQL,High,Rep A,2025-06-28
52,John Rogers,Dennis Group,christopherthomas@hotmail.com,4961965196,Email Campaign,FinTech,84,Customer,High,Rep A,2025-05-11
53,Brandon Bell,Hays LLC,xmartin@gmail.com,857.717.1219x993,Webinar,HRTech,80,Customer,High,Rep B,2025-06-24
54,Shelby French,James-Newton,awalsh@jackson.org,(244)527-8430x03987,LinkedIn DMs,Healthcare,4,Lead,Low,Rep B,2025-05-21
55,Amanda Huerta,Henderson-Lynn,hopkinsmelissa@yahoo.com,+1-498-749-3203,Webinar,EdTech,6,Lead,Low,Rep D,2025-06-12
56,Carol Tran,Mason-Johnson,vrichardson@schmidt-hartman.com,765-309-2464x30813,Website Form,SaaS,58,MQL,Low,Rep B,2025-04-15
57,Gregory Stevens,Green and Sons,wlong@schwartz.com,001-455-731-4926,Email Campaign,Healthcare,22,Lead,Low,Rep C,2025-05-13
58,Robert King,Patterson-Harris,olsonchad@thomas.net,001-864-179-3996x97933,Webinar,HRTech,26,Lead,Low,Rep D,2025-06-15
59,Pamela Sanchez,Ramsey PLC,nspencer@hotmail.com,001-689-825-8173x8681,Email Campaign,EdTech,3,Lead,Low,Rep A,2025-06-30
60,Mrs. Natalie Wright MD,"Morrison, Page and Gilbert",ohall@yahoo.com,(199)806-8496,Email Campaign,Healthcare,41,MQL,Mid,Rep D,2025-04-05
61,Tara Hickman,Wheeler PLC,weaversteven@hotmail.com,(662)810-7677,Webinar,SaaS,60,SQL,High,Rep A,2025-06-13
62,Dr. Kimberly Gutierrez,Lambert-Perez,patelcarlos@hotmail.com,5974689933,Website Form,SaaS,14,Lead,Low,Rep C,2025-04-06
63,Michael Ramirez,"Coleman, Villegas and Taylor",fletcherjohn@riggs-schwartz.info,651.884.9198,Referral,SaaS,75,SQL,Mid,Rep C,2025-06-21
64,James Lewis,"Turner, Ross and Blackburn",josephpowell@gmail.com,+1-857-268-5007x284,LinkedIn DMs,E-commerce,82,Customer,High,Rep A,2025-06-23
65,Matthew Neal,"Hampton, Conner and Johnson",slam@hotmail.com,(450)514-9048,Facebook Ads,E-commerce,12,Lead,Low,Rep B,2025-06-15
66,Danny Le,Brooks-Perez,jimmy64@hotmail.com,001-610-779-9772,Email Campaign,EdTech,87,Customer,High,Rep A,2025-04-17
67,Michael Parker,Cross-Miller,joeljohnson@gmail.com,027.507.6976x9380,LinkedIn DMs,Healthcare,12,Lead,Low,Rep A,2025-06-29
68,David Allen,"Bennett, Wheeler and Smith",mooresue@gmail.com,500.069.9155x8593,Website Form,FinTech,13,Lead,Low,Rep D,2025-06-26
69,Mary Hancock,Scott-Kelly,ian22@gmail.com,894-413-9995x1769,LinkedIn DMs,FinTech,25,Lead,Low,Rep A,2025-05-31
70,Todd Allen,Stewart PLC,olsonmichael@hotmail.com,+1-695-106-3611x28740,Email Campaign,E-commerce,45,MQL,Mid,Rep B,2025-06-10
71,Maria Brown,Jarvis Ltd,marissathomas@yahoo.com,287-899-9962x89302,Email Campaign,E-commerce,19,Lead,Low,Rep D,2025-05-26
72,Isaac Jones,Williams-Reyes,julieduncan@delgado.com,001-858-965-4981x844,Website Form,HRTech,55,MQL,Mid,Rep A,2025-04-04
73,Dana Acevedo,Gomez-Parker,rebeccamay@mcdaniel.com,748.705.6623x00560,LinkedIn DMs,EdTech,100,Customer,High,Rep A,2025-05-29
74,Ellen Sims,Ward Inc,sallywilliams@fuller-heath.biz,5059085576,LinkedIn DMs,SaaS,45,MQL,Mid,Rep C,2025-05-05
75,Dr. Daniel Brock,"Lyons, Wright and Davis",dadams@gmail.com,001-903-521-9609,Webinar,Healthcare,8,Lead,Low,Rep C,2025-04-15
76,Jesus Knox,Crawford-Blankenship,johnpearson@gmail.com,119-026-6237,Referral,SaaS,93,Customer,High,Rep D,2025-05-16
77,Mark Arnold,Vaughan and Sons,connorbaker@wright.com,463.328.7425,Referral,Healthcare,53,MQL,Mid,Rep B,2025-05-13
78,Vincent Solomon,Gutierrez-Schmidt,johnsonjennifer@hotmail.com,001-538-157-5015,LinkedIn DMs,Healthcare,55,MQL,Mid,Rep B,2025-04-29
79,Joshua Watts,Gibson-Rodriguez,tgibson@harvey-ramsey.com,881-514-4661x9954,Email Campaign,Healthcare,32,MQL,Low,Rep A,2025-04-13
80,Andrew Dillon,Sellers-Perry,imyers@cox.com,637.766.5995,Email Campaign,Healthcare,51,MQL,Low,Rep D,2025-06-02
81,Caroline Perez,Livingston-Salinas,davenporthenry@patterson-adams.com,+1-186-146-2883x635,Webinar,FinTech,44,MQL,Low,Rep C,2025-05-25
82,Mary Walton,Miller LLC,chrisgood@jordan-ochoa.info,2784734479,LinkedIn DMs,HRTech,82,Customer,High,Rep B,2025-06-18
83,Christopher Thompson,"Oneal, Burgess and Olson",bishopteresa@yahoo.com,+1-225-885-8431,LinkedIn DMs,FinTech,70,SQL,Mid,Rep A,2025-04-23
84,Nicole Horton,"Simpson, Smith and West",anthony73@hotmail.com,296.175.6577x9906,Email Campaign,SaaS,18,Lead,Low,Rep B,2025-04-15
85,Dana Roberts,Murphy Inc,jorge51@hurst.com,(863)484-0161,Referral,Healthcare,83,Customer,High,Rep C,2025-06-07
86,Steven Santos,King-Kent,mark37@hotmail.com,(201)569-1461x641,LinkedIn DMs,FinTech,22,Lead,Low,Rep A,2025-05-07
87,Crystal Alvarez,"Nelson, Cummings and Davis",sotowilliam@gmail.com,+1-071-957-1451x495,Website Form,Healthcare,37,MQL,Low,Rep C,2025-04-12
88,Scott Pearson,Patel-Lopez,patrickjohnson@yahoo.com,(966)180-8438,Email Campaign,E-commerce,96,Customer,High,Rep B,2025-05-23
89,Janet Fernandez,"Taylor, Mcdonald and Jackson",morrowcassandra@reilly-french.biz,450-300-6045x199,Webinar,Healthcare,56,MQL,Low,Rep A,2025-04-07
90,Sara Mendoza,Brown and Sons,iallen@yahoo.com,(237)369-5043,Referral,E-commerce,59,MQL,Mid,Rep B,2025-04-17
91,Janice Williams,"Williams, Marshall and Kelly",franktodd@hotmail.com,(493)053-9734x513,Email Campaign,FinTech,3,Lead,Low,Rep A,2025-06-07
92,Rhonda Matthews,Thomas-Brown,espinozachelsea@hotmail.com,001-727-405-1431x641,Website Form,SaaS,28,Lead,Low,Rep C,2025-06-18
93,Lucas Davis,Hamilton Group,mcphersontiffany@gmail.com,001-542-600-6289x223,Website Form,HRTech,74,SQL,High,Rep C,2025-05-23
94,Ian Ford,"Lopez, Lucas and Flores",nancy89@gmail.com,(517)475-2949,Email Campaign,SaaS,35,MQL,Mid,Rep B,2025-05-16
95,James Edwards,Robertson PLC,mharris@yahoo.com,665.703.1012x2133,Email Campaign,HRTech,61,SQL,High,Rep A,2025-06-04
96,Melissa Black,Hartman-Davidson,charlesmitchell@hotmail.com,545.749.8839,Facebook Ads,FinTech,93,Customer,High,Rep A,2025-05-14
97,Tracy Hoffman,Cox LLC,barryvincent@yahoo.com,001-352-151-7346x606,Email Campaign,EdTech,54,MQL,Low,Rep D,2025-05-24
98,Margaret Lamb,"Haas, Stanton and Scott",thomas56@smith.com,3022123955,Referral,Healthcare,63,SQL,High,Rep A,2025-04-13
99,Scott Butler,"Walker, Lee and Peters",greendavid@gmail.com,(326)214-4537x15045,Facebook Ads,SaaS,79,SQL,Mid,Rep B,2025-04-15
100,Jenna Stephens,Snyder-Porter,sheltondanielle@garcia.com,263.554.6903,Email Campaign,FinTech,97,Customer,High,Rep A,2025-04-21
101,Samantha Hart,Miller LLC,bradleyjohn@gmail.com,001-815-455-2787x626,Facebook Ads,SaaS,7,Lead,Low,Rep D,2025-04-03
102,Sherry Rivera,Johnson-Lowe,deankathleen@hamilton.com,7867969999,Website Form,HRTech,76,SQL,High,Rep A,2025-04-24
103,Tiffany Lutz,"Martinez, Kline and Carroll",paul23@hotmail.com,900-241-5517,LinkedIn DMs,E-commerce,49,MQL,Low,Rep C,2025-06-24
104,Kelly Sanders,Roach Group,james27@anderson.org,(668)685-8431x1621,Website Form,Healthcare,94,Customer,High,Rep D,2025-04-08
105,Melissa Gomez,Torres PLC,nclark@yahoo.com,001-543-105-5771x0302,LinkedIn DMs,HRTech,85,Customer,High,Rep D,2025-05-17
106,Jason Grant,"Gardner, Lane and Rivera",vfranklin@hotmail.com,342-314-9452x1258,Email Campaign,E-commerce,31,MQL,Low,Rep C,2025-05-15
107,Charles Novak,Sherman PLC,flemingbrandon@salas.org,001-151-414-0508,Email Campaign,Healthcare,58,MQL,Mid,Rep C,2025-05-06
108,Bob Allen,Mendoza-Nelson,ystout@scott-small.com,(472)543-9245x39604,Referral,SaaS,61,SQL,Mid,Rep A,2025-04-15
109,Joshua Miller,Zimmerman-Hill,sarahlyons@hotmail.com,(852)768-2091x8812,Website Form,E-commerce,24,Lead,Low,Rep D,2025-04-17
110,William Cruz,Walls and Sons,asmith@gill.org,(351)591-1753x31702,Referral,Healthcare,20,Lead,Low,Rep B,2025-06-07
111,Stephanie Allen,"Wells, Schmidt and Williams",whines@murray.com,201.533.3003x2569,Website Form,E-commerce,37,MQL,Low,Rep D,2025-06-30
112,Denise Gallagher,Lee and Sons,kellybrooke@perez.com,(266)315-4309,Webinar,SaaS,4,Lead,Low,Rep A,2025-06-27
113,Alyssa Clark,"Acevedo, Holt and Wilson",lori53@gray.com,(351)452-2823x25348,LinkedIn DMs,FinTech,92,Customer,High,Rep C,2025-06-06
114,Cody Moran,Farmer-Carroll,ckelly@yahoo.com,833-521-9706x40641,Referral,SaaS,20,Lead,Low,Rep C,2025-04-16
115,Michael Buchanan,"Jones, Campbell and Moore",ashaw@yahoo.com,016-327-0349x14105,Facebook Ads,SaaS,60,SQL,Mid,Rep D,2025-04-15
116,Larry Sanders,Michael-Jackson,lopezmorgan@sutton-pugh.com,(768)796-7467x2698,Facebook Ads,E-commerce,24,Lead,Low,Rep C,2025-05-12
117,Abigail French,"Hall, Walker and Freeman",gallegosaaron@dodson.org,001-614-949-1851,Referral,FinTech,50,MQL,Low,Rep D,2025-05-02
118,Heather Tapia,Stevenson-Hogan,theresa26@gmail.com,(822)879-5614x10966,LinkedIn DMs,FinTech,49,MQL,Mid,Rep D,2025-04-09
119,Isabella Jackson,Moore LLC,pruittwilliam@gmail.com,(903)034-7112x02730,Webinar,E-commerce,51,MQL,Mid,Rep A,2025-06-22
120,Brenda Young,"Garrett, Moyer and Little",bensondonald@hotmail.com,(072)230-3358,Webinar,Healthcare,96,Customer,High,Rep D,2025-04-17
121,Kenneth Williamson,Jones-Hale,ehines@weaver.info,+1-278-767-8236x084,Webinar,HRTech,36,MQL,Low,Rep D,2025-04-20
122,Randy Pacheco,Murphy-Torres,rmorgan@gmail.com,6206814849,Facebook Ads,EdTech,98,Customer,High,Rep B,2025-06-01
123,Laurie Warner,Williams PLC,clarkkatherine@nelson.com,198-117-9633x0507,Email Campaign,Healthcare,100,Customer,High,Rep D,2025-06-15
124,Laura Morgan,Campbell-Bradford,ldavis@hudson.com,(844)161-6936,Facebook Ads,HRTech,66,SQL,High,Rep C,2025-06-20
125,Ronald Stone,"Wang, Holden and Wilson",davidhunter@gmail.com,057.410.3762x2659,LinkedIn DMs,E-commerce,79,SQL,Mid,Rep B,2025-04-28
126,Gabriel Ward,"Clark, Bell and Lang",trevor11@campbell-frank.biz,(847)132-9010x29158,Facebook Ads,Healthcare,34,MQL,Low,Rep D,2025-06-16
127,Shannon Atkins,"Martinez, Garcia and Richardson",serranobrian@cruz-anderson.com,596.828.9014,Webinar,HRTech,36,MQL,Mid,Rep C,2025-04-07
128,Sarah Steele,Patterson-Burnett,zmontoya@gmail.com,(716)892-7888,Webinar,E-commerce,6,Lead,Low,Rep C,2025-04-29
129,Kayla Parks,Mullen-Gardner,kylecaldwell@burgess-bailey.com,4730802821,Website Form,HRTech,39,MQL,Low,Rep D,2025-04-23
130,Blake Evans,"Thompson, Soto and Foley",andrewwolf@yahoo.com,(978)942-5963x4900,Email Campaign,SaaS,42,MQL,Mid,Rep A,2025-04-11
131,Jennifer Cortez,"Perez, Hill and Smith",montgomerychristopher@gmail.com,030.766.1706,LinkedIn DMs,SaaS,58,MQL,Low,Rep A,2025-06-10
132,Jasmine Cummings,"Gross, Bond and Collins",velazquezalexa@schmidt.com,186.969.2344x40557,Email Campaign,E-commerce,12,Lead,Low,Rep B,2025-04-16
133,Ellen Avila,Miller and Sons,debrapowell@gmail.com,001-916-049-4172x319,Email Campaign,FinTech,3,Lead,Low,Rep A,2025-04-05
134,Anthony Pham,Hinton-Rose,lisaanderson@hotmail.com,+1-589-358-4047,Email Campaign,Healthcare,18,Lead,Low,Rep D,2025-04-06
135,Tanya Benson,Wilcox and Sons,paul56@hotmail.com,165-666-7157x111,Website Form,Healthcare,40,MQL,Mid,Rep A,2025-04-16
136,Johnny Garcia,"Sandoval, Schwartz and Garrett",ashley79@brock.com,(525)761-5033x598,Email Campaign,SaaS,21,Lead,Low,Rep A,2025-06-04
137,Anthony Black,Gordon Ltd,fuentesjames@martin.info,+1-532-101-3398,Webinar,FinTech,15,Lead,Low,Rep B,2025-05-27
138,Alexandra Smith,Williams Group,angela90@gmail.com,056-502-5787x0909,Facebook Ads,SaaS,97,Customer,High,Rep B,2025-05-04
139,Brenda Stark,"Guzman, Smith and Myers",stricklandkathryn@gmail.com,386.488.3626x96163,Webinar,Healthcare,99,Customer,High,Rep C,2025-05-10
140,Megan Alvarez,Gibson Ltd,jacob69@hotmail.com,269-154-8978x8141,Website Form,Healthcare,26,Lead,Low,Rep C,2025-06-09
141,Garrett Martin,Goodwin-Kennedy,sparkslinda@yahoo.com,505-624-4818x88678,Website Form,HRTech,8,Lead,Low,Rep C,2025-05-30
142,Sharon Garcia,"Rodriguez, Ray and Fox",tmccall@evans.com,349-843-8281,Facebook Ads,SaaS,100,Customer,High,Rep C,2025-06-29
143,Edward Thompson,Patel-Mcdaniel,mary23@alvarado-olson.com,089.034.5446,LinkedIn DMs,EdTech,94,Customer,High,Rep B,2025-06-05
144,Regina Wright,Conley Ltd,kenneth96@barnes.com,7909919984,Webinar,Healthcare,87,Customer,High,Rep C,2025-05-11
145,Barry Smith,"Watson, Davis and Williams",kdaniel@yahoo.com,621.090.2805x7955,Referral,E-commerce,42,MQL,Low,Rep C,2025-04-05
146,Anthony Scott,Jones-Simmons,blakesolomon@hotmail.com,275.622.0217x589,Facebook Ads,FinTech,44,MQL,Low,Rep B,2025-04-20
147,Kristina Elliott,Flores Group,garnerdawn@long.info,(032)489-3237,LinkedIn DMs,SaaS,14,Lead,Low,Rep A,2025-06-28
148,Sydney Fisher,Carr-Nelson,ugrimes@gmail.com,(414)842-6898,Referral,E-commerce,78,SQL,Mid,Rep A,2025-05-26
149,Stacy Alexander,Oneill-Mcconnell,alyssa78@yahoo.com,(451)924-2793x4682,LinkedIn DMs,EdTech,2,Lead,Low,Rep D,2025-06-24
150,Mary Cisneros,Ross and Sons,nhester@rodriguez-pierce.info,634.144.8777x47639,Email Campaign,Healthcare,37,MQL,Low,Rep C,2025-05-16
151,Angela Novak,Lee PLC,tylerrusso@yahoo.com,6888674205,Referral,SaaS,69,SQL,Mid,Rep C,2025-06-08
152,Mary Skinner,Nichols-Phillips,mackenziesullivan@ingram-rivera.net,001-651-531-2141x3829,Website Form,Healthcare,38,MQL,Low,Rep A,2025-05-21
153,Kari Williams,"Rivas, Jordan and Hicks",mccalljon@yahoo.com,1705939670,LinkedIn DMs,FinTech,41,MQL,Low,Rep B,2025-04-13
154,Robin Cook DDS,White LLC,josecruz@rogers-watts.org,(787)351-6832x022,Email Campaign,FinTech,62,SQL,Mid,Rep B,2025-06-19
155,Michelle Miller,"Miller, Williams and Thomas",johnsonkathy@hotmail.com,755-577-3432x823,Facebook Ads,E-commerce,60,SQL,Mid,Rep A,2025-06-27
156,Chelsea Gamble,"Cooke, Pierce and Morrow",zmyers@riddle.org,084.698.7329x75845,Facebook Ads,E-commerce,14,Lead,Low,Rep D,2025-05-14
157,Brian Holland,Brown-Thomas,hsweeney@yahoo.com,(989)090-6609x478,Facebook Ads,FinTech,89,Customer,High,Rep A,2025-04-22
158,Rose Thomas,Carter-Le,rthompson@yahoo.com,001-463-128-4209x27493,Facebook Ads,HRTech,84,Customer,High,Rep A,2025-06-08
159,Amanda Black,"Miller, Taylor and White",diana28@miller-reyes.com,5416523700,Referral,EdTech,2,Lead,Low,Rep C,2025-06-16
160,Susan Jimenez,Jones-Brown,gregorymaynard@johnson-allen.info,432.674.8464x31032,Facebook Ads,EdTech,70,SQL,Mid,Rep C,2025-04-24
161,Ms. Mary Gomez,Sanchez-Espinoza,briankelly@yahoo.com,+1-219-645-9968,Facebook Ads,EdTech,17,Lead,Low,Rep B,2025-04-17
162,Daniel Buck,"Ortega, Miller and Kelly",jilljackson@gmail.com,7814125706,Webinar,FinTech,89,Customer,High,Rep B,2025-05-16
163,Joyce Decker,"Leonard, Kaufman and Pearson",jon54@petersen.info,131-568-7310,Website Form,Healthcare,28,Lead,Low,Rep A,2025-04-15
164,James Phillips,"Hardy, Patterson and Hall",xrice@hotmail.com,109.035.8587,Facebook Ads,FinTech,66,SQL,High,Rep C,2025-04-16
165,Michael Neal,Bell-Roberson,obrienpaul@gmail.com,023-872-8807,Email Campaign,FinTech,35,MQL,Low,Rep B,2025-04-27
166,Jason Mclaughlin,"Walsh, Carroll and Snyder",beth90@hotmail.com,001-196-433-5623x9502,Facebook Ads,SaaS,5,Lead,Low,Rep A,2025-04-10
167,Shannon Andrade,"Ruiz, Parks and Yu",haroldmcneil@young-brady.com,+1-939-560-8980,Webinar,FinTech,65,SQL,High,Rep B,2025-05-01
168,Benjamin Griffin,Lin LLC,josephowens@yahoo.com,001-911-739-0665,LinkedIn DMs,SaaS,40,MQL,Low,Rep A,2025-04-08
169,Kayla Soto,"Diaz, Love and Maxwell",mvaughan@coleman.com,2450632705,LinkedIn DMs,SaaS,76,SQL,High,Rep D,2025-04-17
170,Desiree Miller,Franklin-Scott,ymerritt@hotmail.com,(676)469-1428x40000,Website Form,SaaS,56,MQL,Mid,Rep B,2025-06-23
171,Christine Everett,Baker-West,bdennis@yahoo.com,823.225.8337,Website Form,EdTech,36,MQL,Mid,Rep B,2025-05-14
172,Stephanie May,Pitts and Sons,mark15@wilson-snyder.com,866.100.0059x118,Referral,E-commerce,45,MQL,Low,Rep B,2025-06-29
173,Mathew Adams,"Goodwin, Hanson and Garrett",william91@brown-foster.org,+1-631-555-8008x7575,Referral,EdTech,23,Lead,Low,Rep C,2025-05-17
174,Travis Lewis,"Hickman, Walker and Hardy",travisortega@campbell.com,1381385418,Facebook Ads,E-commerce,47,MQL,Low,Rep A,2025-05-02
175,Darius Tapia,"Ramirez, Morris and Williams",fwright@hotmail.com,1065360549,Referral,Healthcare,31,MQL,Low,Rep C,2025-05-20
176,John Hall,"Johnson, Moore and Hughes",xedwards@hotmail.com,+1-990-604-1869x609,Facebook Ads,Healthcare,11,Lead,Low,Rep D,2025-05-07
177,Scott Garcia,"Heath, Lopez and Ray",benitezlawrence@torres-ward.com,9753363149,Facebook Ads,E-commerce,10,Lead,Low,Rep C,2025-06-25
178,Mrs. Lori Russell,"Davis, Parks and Wilson",deborah86@gmail.com,549-642-2069x925,Referral,SaaS,67,SQL,High,Rep C,2025-06-17
179,Raymond Brown,Marsh LLC,orichardson@king.org,088-534-8831,LinkedIn DMs,SaaS,14,Lead,Low,Rep D,2025-06-28
180,Nicole Lopez,"Hinton, Boyle and Singleton",keithcrawford@hotmail.com,+1-328-181-6717x7110,Email Campaign,E-commerce,80,Customer,High,Rep B,2025-04-24
181,Christopher Brandt,Wiggins-Kim,luis41@yahoo.com,+1-918-480-0000x1330,Facebook Ads,E-commerce,74,SQL,Mid,Rep C,2025-06-22
182,Margaret Griffith,Summers-Chapman,millerjessica@gmail.com,001-921-581-9277x24437,Facebook Ads,HRTech,93,Customer,High,Rep D,2025-06-11
